title,latitude,longitude
Afghan,33.93911,67.709953
Albanian,41.153332,20.168331
Albanian,41.153332,20.168331
Albanian,41.153332,20.168331
Albanian,41.153332,20.168331
Algerian,28.033886,1.659626
Algerian,28.033886,1.659626
Algerian,28.033886,1.659626
Algerian,28.033886,1.659626
Algerian,28.033886,1.659626
Algerian,28.033886,1.659626
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
American,37.09024,-95.712891
